afil	Phosphodiesterase inhibitors
azenil	benzodiazepine receptor antagonists/agonists (benzodiazepine derivatives)
azepide	cholecystokinin receptor antagonist
azocine	narcotic antagonists/agonists related to 6,7-benzomorphan
azoline	antihistaminics or local vasoconstrictors, antazoline derivatives
azosin	antihypertensive substances, prazosin derivatives
bactam	b-lactamase inhibitors
bamate	tranquillizers, propanediol and pentanediol derivatives
bendazole	anthelminthics, tiabendazole derivatives
bradine	bradycardic agents
buzone	anti-inflammatory analgesics, phenylbutazone derivatives
carbef	antibiotics, carbacepham derivatives
carnil	benzodiazepine receptor antagonists/agonists (carboline derivatives)
cavir	carbocyclic nucleosides
cic	hepatoprotectice substances with a carboxylic acid group
cidin	naturally occurring antibiotics (undefined group)
cillinantibiotics	6-aminopenicillanic acid derivatives
citabine	nucleoside antiviral or antineoplastic agents, cytarabine or azarabine derivatives
clone	hypnotic tranquillizers
conazole	systemic antifungal agents, miconazole derivatives
crinat	diuretics, etacrynic acid derivatives
crine	acetylcholinesterase inhibitors, tacrine derivatives
cromil	antiallergics, cromoglicic acid derivatives
curium	curare-like substances
dan	cardiac stimulants, pimobendan derivatives
dapsone	Antimycobacterials, diaminodiphenylsulfone derivatives
dermin	epidermal growth factors
dil	vasodilators
dismase	superoxide dismutase activity
dopa	dopamine receptor agonists, dopamine derivatives, used as antiparkinsonism/prolactin inhibitors;
dox	antibacterials, quinoline dioxide derivatives
dralazine	antihypertensives, hydrazinephthalazine derivatives
dronic acid	calcium metabolism regulator, pharmaceutical aid
ectin	antiparasitics, ivermectin derivatives
entan	endothelin receptor antagonists
eptacog	blood coagulation VII
eridine	analgesics, pethidine derivatives
etanide	diuretics, piretanide derivatives
exakin	ll-6 derivatives
exine	mucolytic, bromhexine derivatives
fenamic acid	anti-inflammatory, anthranilic acid derivatives
fenin	diagnostic aids; (phenylcarbamoyl)methyl iminodiacetic acid derivatives
fenine	analgesics, glafenine derivatives - (subgroup of fenamic acid group)
fentanil	narcotic analgesics, fentanil derivatives
fermin	fibrinoblast growth factors
fiban	Fibrinogen receptor antagonists (glycoprotein lib/llla receptor antagonists
fibrate	clofibrate derivatives
flapon	5-lipoxygenase-activating protein (FLAP) inhibitor
flurane	general inhalation anaesthetics, halogenated alkane derivatives
formin	antihyperglycaemics, phenformin derivatives
fos	insecticides, anthelmintics,pesticides etc., phosphorous derivatives
fosvos	insecticides, anthelmintics,pesticides etc., phosphorous derivatives
fradil	calcium channel blockers acting as vasodilators
frine	sympathomimetic, phenethyl derivatives
fylline	N-methylated xanthine derivatives
gatran	thrombin inhibitor, antithrombotic agents
giline	MAO-inhibitors type B
gillin	antibiotics produced by Aspergillus strains
golide	dopamine receptor agonists, ergoline derivatives
grel	platelet aggregation inhibitors
icam	anti-inflammatory, isoxicam derivatives
ifene	antiestrogens, clomifene and tamoxifen derivatives
ilide	Class III antiarrhythmics, sematilide derivatives
imod	immunomodulators, both stimulant/suppressie and stimulant
imus	immunosuppressants (other than antineoplastics)
iptan	serotonin (5HT1) receptor agonists, sumatriptan derivatives
irudin	hirudin derivatives
isomide	antiarrhythmics, disopyramide derivatives
izine	diphenylmethyl piperazine derivatives
kacin	antibiotics, kanamycin and bekanamycin derivatives (obtained from Streptomyces kanamyceticus);
kalant	potassium channel blockers
kalim	potassium channel activators, antihypertensive
kinra	interleukin receptor antagonists
kiren	renin inhibitors
leukin	ll-2 derivatives
lipastat	pancreatic lipase inhibitors
mantadine	adamantine derivatives
meline	cholinergic agents, arecoline derivatives
mer	polymers
mesine	sigma receptor ligands
mestane	aromatase inhibitors
metacin	anti-inflammatory, indometacin derivatives
micin	antibiotics obtained from various Micromonospora
monam	monobactam antibiotics
morelin	growth hormone release-stimulating peptides
mostim	macrophage stimulating factors (M-CSF) type substances
motine	antivirals, quinoline derivatives
moxin	monoamine oxidase inhibitors, hydrazine derivatives
nakin	ll-1 derivatives
nercept	tumour necrosis factor antagonist
nermin	tumour necrosis factor
nicate	antihypercholesterolaemic and/or vasodilating nicotinic acid esters
nidazole	antiprotozoals, metronidazole derivatives
nixin	anti-inflammatory, anilinonicotinic acid derivatives
nonacog	blood coagulation factor IX
octocog	blood coagulation factor VIII
alol	aromatic ring –CH-CH2-NH-R related to -olols
opamine	dopaminergic agents dopamine derivatives used as cardiac stimulat/antihypertensives/diuretics
nidine	antihypertensives, clonidine derivatives
orex	anoretics
oxacin	antibacterials, nalidixic acid derivatives
oxan	benzodioxane derivatives
oxane	benzodioxane derivatives
oxanide	antiparasitics, salicylanides and analogues
oxef	antibiotics, oxacefalosporanic acid derivatives
oxetine	antidepressants, fluoxetine derivatives
pafant	platelet-activating factor antagonists
pamide	diuretics, sulfamoylbenzoic acid derivatives
pamil	coronary vasodilators, verapamil derivatives
parcin	glycopeptides antibiotics
penem	analogues of penicillanic acid antibiotics modified in the five-membered ring
peridol	(antipsychotics, haloperidol derivatives
peridone	antipsychotics, risperidone derivatives
perone	tranquillizers, neuroleptics, 4’-fluoro-4-piperidinobutyrophenone derivatives;
pidem	hypnotics/sedatives, zolpidem derivatives
pin	tricyclic compounds
pine	tricyclic compounds
piprazole	psychotropics, phenylpiperazine derivatives
pirox	antimycotic pyridine derivatives
planin	antibacterials (Actinoplanes strains)
platin	antineoplastic agents, platinum derivatives
plestim	interleukin-3 analogues and derivatives
plon	pyrazolo[-]pyrimidine derivatives, used as anxiolytics, sedatives, hypnotics
poetin	erythropoietin type blood factors
porfin	benzoporphyrin derivatives
pramine	substances of the imipramine group
prazole	antiulcer, benzimidazole derivatives
pressin	vasoconstrictors, vasopressin derivatives
pride	sulpiride derivatives
prilat	angiotensin-converting enzyme inhibitors
prim	antibacterials, trimethoprim derivatives
quinil	benzodiazepine receptor partial agonists (quinoline derivatives)
racetam	amide type nootrope agents, piracetam derivatives
relix	hormone-release inhibiting peptides
renone	aldosterone antagonists, spironolactone derivates
ribine	ribofuranil-derivatives of the pyrazofurin type
rinone	cardiac stimulants, amrinone derivatives
rozole	aromatase inhibitors, imidozole-triazole derivatives
rubicin	antineoplastic antibiotics, daunorubicin derivatives
sermin	insulin-like growth factor
serpine	derivatives of Rauwolfia alkaloids
spirone	anxiolytics, buspirone derivatives
stat	enzyme inhibitors
steine	mucolytics, other than bromhexine derivatives
stim	colony stimulating factors
sulfan	antineoplastic, alkylating agents, methanesulfonates
tepa	antineoplastics, thiotepa derivatives
teplase	tissue plasminogen activators
terone	antiandrogens
tiazem	calcium channel blockers, diltiazem derivatives
tide	peptides and glycopeptides
tirelin	thyrotropin releasing hormone analogues
tizide	diuretics, chlorothiazide derivatives
tocin	oxytocin derivatives
toin	antiepileptics, hydantoin derivatives
trexate	folic acid analogues
tricin	antibiotics, polyene derivatives
triptyline	antidepressants, dibenzo[a,d]cycloheptane or cyclopheptene derivatives
troban	thromboxane A2-receptor antagonists; antithrombotic agents
trodast	thromboxane A2 receptor antagonists, antiasthmatics
uplase	urokinase-type-plasminogen activators
uracil	uracil derivatives used as thyroid antagonists and as antineoplastics
uridine	uridine derivatives used as antiviral agents and as antineoplastics; also -udine­
vastatin	antilipidemic substances, HMG CoA reductase inhibitors
verine	spasmolytics with a papaverine-like action
virsen	neuraminidase inhibitors
xanox	antiallergic respiratory tract drugs, xanoxic acid derivatives
zofone	alozafone derivatives
zepine	tricyclic compounds
